Plugin ID,CVE,CVSS v2.0 Base Score,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output,STIG Severity,CVSS v3.0 Base Score,CVSS v2.0 Temporal Score,CVSS v3.0 Temporal Score,VPR Score,Risk Factor,BID,XREF,MSKB,Plugin Publication Date,Plugin Modification Date,Metasploit,Core Impact,CANVAS
"10816","CVE-2001-0835","4.3","Medium","192.168.0.105","tcp","80","Webalizer < 2.01-09 Multiple XSS","A web application on the remote host has multiple cross-site
scripting vulnerabilities.","Webalizer, a web server log analysis application, was detected on the
remote host.  This version of Webalizer has multiple cross-site
scripting vulnerabilities that could allow malicious HTML tags to be
injected in the reports.","Upgrade to Version 2.01-09 and change the directory in 'OutputDir'.","https://seclists.org/bugtraq/2001/Oct/223","","","","3.7","","5.9","Medium","3473","CWE:20;CWE:74;CWE:79;CWE:442;CWE:629;CWE:711;CWE:712;CWE:722;CWE:725;CWE:750;CWE:751;CWE:800;CWE:801;CWE:809;CWE:811;CWE:864;CWE:900;CWE:928;CWE:931;CWE:990","","2001/12/03","2021/01/19","","",""
"10816","CVE-2001-0835","4.3","Medium","192.168.0.105","tcp","443","Webalizer < 2.01-09 Multiple XSS","A web application on the remote host has multiple cross-site
scripting vulnerabilities.","Webalizer, a web server log analysis application, was detected on the
remote host.  This version of Webalizer has multiple cross-site
scripting vulnerabilities that could allow malicious HTML tags to be
injected in the reports.","Upgrade to Version 2.01-09 and change the directory in 'OutputDir'.","https://seclists.org/bugtraq/2001/Oct/223","","","","3.7","","5.9","Medium","3473","CWE:20;CWE:74;CWE:79;CWE:442;CWE:629;CWE:711;CWE:712;CWE:722;CWE:725;CWE:750;CWE:751;CWE:800;CWE:801;CWE:809;CWE:811;CWE:864;CWE:900;CWE:928;CWE:931;CWE:990","","2001/12/03","2021/01/19","","",""
"10823","CVE-2001-0872","7.2","High","192.168.0.105","tcp","22","OpenSSH < 3.0.2 Multiple Vulnerabilities","The SSH service running on the remote host has multiple
vulnerabilities.","You are running a version of OpenSSH which is older than 3.0.2.
Versions prior than 3.0.2 have the following vulnerabilities :

  - When the UseLogin feature is enabled, a local user
    could export environment variables, resulting in
    command execution as root.  The UseLogin feature is
    disabled by default. (CVE-2001-0872)

  - A local information disclosure vulnerability.
    Only FreeBSD hosts are affected by this issue.
    (CVE-2001-1029)","Upgrade to OpenSSH 3.0.2 or apply the patch for prior
versions. (Available at: ftp://ftp.openbsd.org/pub/OpenBSD/OpenSSH)","https://seclists.org/bugtraq/2001/Sep/208
https://www.freebsd.org/releases/4.4R/errata.html
http://www.nessus.org/u?f85ed76c","","","","5.6","","5.9","High","3614","","","2001/12/10","2018/11/15","","",""
"10823","CVE-2001-1029","7.2","High","192.168.0.105","tcp","22","OpenSSH < 3.0.2 Multiple Vulnerabilities","The SSH service running on the remote host has multiple
vulnerabilities.","You are running a version of OpenSSH which is older than 3.0.2.
Versions prior than 3.0.2 have the following vulnerabilities :

  - When the UseLogin feature is enabled, a local user
    could export environment variables, resulting in
    command execution as root.  The UseLogin feature is
    disabled by default. (CVE-2001-0872)

  - A local information disclosure vulnerability.
    Only FreeBSD hosts are affected by this issue.
    (CVE-2001-1029)","Upgrade to OpenSSH 3.0.2 or apply the patch for prior
versions. (Available at: ftp://ftp.openbsd.org/pub/OpenBSD/OpenSSH)","https://seclists.org/bugtraq/2001/Sep/208
https://www.freebsd.org/releases/4.4R/errata.html
http://www.nessus.org/u?f85ed76c","","","","5.6","","5.9","High","3614","","","2001/12/10","2018/11/15","","",""
"10863","","","None","192.168.0.105","tcp","443","SSL Certificate Information","This plugin displays the SSL certificate.","This plugin connects to every SSL-related port and attempts to 
extract and dump the X.509 certificate.","n/a","","Subject Name: 

Country: --
State/Province: SomeState
Locality: SomeCity
Organization: SomeOrganization
Organization Unit: SomeOrganizationalUnit
Common Name: localhost.localdomain
Email Address: root@localhost.localdomain

Issuer Name: 

Country: --
State/Province: SomeState
Locality: SomeCity
Organization: SomeOrganization
Organization Unit: SomeOrganizationalUnit
Common Name: localhost.localdomain
Email Address: root@localhost.localdomain

Serial Number: 00 

Version: 3

Signature Algorithm: MD5 With RSA Encryption

Not Valid Before: Sep 26 09:32:06 2009 GMT
Not Valid After: Sep 26 09:32:06 2010 GMT

Public Key Info: 

Algorithm: RSA Encryption
Key Length: 1024 bits
Public Key: 00 CE 01 5E 22 B9 6D 69 52 A1 BE 01 E9 AF 40 2E 62 83 6D 2C 
            6A A0 C7 0C DE 9B C6 1E C7 05 B0 9B 3E 7C 71 E7 F8 28 D4 D4 
            35 F8 E0 B3 C3 34 EC 30 3A 5E 94 A9 BF 86 B5 92 6F EA 3B 95 
            7A D0 F0 71 36 DB A1 C0 B6 04 CF BA C7 A8 32 57 F1 FA 69 8B 
            82 B2 C0 B0 AC EB 95 29 6A 7B 97 DC 55 A5 A7 63 21 35 26 86 
            1F AE 07 CD 6A CA AA 29 B7 FF D9 E1 31 F0 C3 B4 9E CC B2 50 
            5E 2D 7E 1A B9 A9 DE 21 43 
Exponent: 01 00 01 

Signature Length: 128 bytes / 1024 bits
Signature: 00 56 0A E6 A6 9A DF 92 67 7C BF 2D 04 D1 49 99 BD 67 48 70 
           3A C8 61 1B D4 59 CC 12 17 07 3A 6C 6A 89 78 9A F4 09 84 81 
           FA 30 D0 CC 0E 82 BB B9 ED C6 3A E5 5F 11 23 1C 50 41 6C 5E 
           22 10 C2 43 9E E4 13 14 6B C8 09 02 1C AE A2 68 1F 79 6A 00 
           EE F7 BB 84 DE 04 38 E1 BF 99 FE 87 E4 B7 EC 21 DD D6 5B E0 
           46 0A 0E 6B 2F 5D 59 A2 CA 3B 25 13 86 02 85 D8 77 0F 58 C6 
           48 8F 67 EB A2 8E 5E 8A 13 

Extension: Subject Key Identifier (2.5.29.14)
Critical: 0
Subject Key Identifier: EC E7 51 4B 43 6B 6C D0 7C 80 4F 6A 52 37 30 F0 B1 7C C4 A0 


Extension: Authority Key Identifier (2.5.29.35)
Critical: 0
Key Identifier: EC E7 51 4B 43 6B 6C D0 7C 80 4F 6A 52 37 30 F0 B1 7C C4 A0 
Country: --
State/Province: SomeState
Locality: SomeCity
Organization: SomeOrganization
Organization Unit: SomeOrganizationalUnit
Common Name: localhost.localdomain
Email Address: root@localhost.localdomain
Serial Number: 00 


Extension: Basic Constraints (2.5.29.19)
Critical: 0
CA: TRUE


Fingerprints : 

SHA-256 Fingerprint: B4 FE 0D 8F 6D 76 DB 37 B1 68 92 44 89 8C 35 5C 9C 09 D8 34 
                     C5 1B 95 A1 CB 48 DF 9F 7D 18 D3 5C 
SHA-1 Fingerprint: 9C 42 91 C3 BE D2 A9 5B 98 3D 10 AC F7 66 EC B9 87 66 1D 33 
MD5 Fingerprint: 78 CE 52 93 47 23 E7 FE C2 8D 74 AB 42 D7 02 F1 


PEM certificate : 

-----BEGIN CERTIFICATE-----
MIIEDDCCA3WgAwIBAgIBADANBgkqhkiG9w0BAQQFADCBuzELMAkGA1UEBhMCLS0xEjAQBgNVBAgTCVNvbWVTdGF0ZTERMA8GA1UEBxMIU29tZUNpdHkxGTAXBgNVBAoTEFNvbWVPcmdhbml6YXRpb24xHzAdBgNVBAsTFlNvbWVPcmdhbml6YXRpb25hbFVuaXQxHjAcBgNVBAMTFWxvY2FsaG9zdC5sb2NhbGRvbWFpbjEpMCcGCSqGSIb3DQEJARYacm9vdEBsb2NhbGhvc3QubG9jYWxkb21haW4wHhcNMDkwOTI2MDkzMjA2WhcNMTAwOTI2MDkzMjA2WjCBuzELMAkGA1UEBhMCLS0xEjAQBgNVBAgTCVNvbWVTdGF0ZTERMA8GA1UEBxMIU29tZUNpdHkxGTAXBgNVBAoTEFNvbWVPcmdhbml6YXRpb24xHzAdBgNVBAsTFlNvbWVPcmdhbml6YXRpb25hbFVuaXQxHjAcBgNVBAMTFWxvY2FsaG9zdC5sb2NhbGRvbWFpbjEpMCcGCSqGSIb3DQEJARYacm9vdEBsb2NhbGhvc3QubG9jYWxkb21haW4wgZ8wDQYJKoZIhvcNAQEBBQADgY0AMIGJAoGBAM4BXiK5bWlSob4B6a9ALmKDbSxqoMcM3pvGHscFsJs+fHHn+CjU1DX44LPDNOwwOl6Uqb+GtZJv6juVetDwcTbbocC2BM+6x6gyV/H6aYuCssCwrOuVKWp7l9xVpadjITUmhh+uB81qyqopt//Z4THww7SezLJQXi1+Grmp3iFDAgMBAAGjggEcMIIBGDAdBgNVHQ4EFgQU7OdRS0NrbNB8gE9qUjcw8LF8xKAwgegGA1UdIwSB4DCB3YAU7OdRS0NrbNB8gE9qUjcw8LF8xKChgcGkgb4wgbsxCzAJBgNVBAYTAi0tMRIwEAYDVQQIEwlTb21lU3RhdGUxETAPBgNVBAcTCFNvbWVDaXR5MRkwFwYDVQQKExBTb21lT3JnYW5pemF0aW9uMR8wHQYDVQQLExZTb21lT3JnYW5pemF0aW9uYWxVbml0MR4wHAYDVQQDExVsb2NhbGhvc3QubG9jYWxkb21haW4xKTAnBgkqhkiG9w0BCQEWGnJvb3RAbG9jYWxob3N0LmxvY2FsZG9tYWluggEAMAwGA1UdEwQFMAMBAf8wDQYJKoZIhvcNAQEEBQADgYEAVgrmpprfkmd8vy0E0UmZvWdIcDrIYRvUWcwSFwc6bGqJeJr0CYSB+jDQzA6Cu7ntxjrlXxEjHFBBbF4iEMJDnuQTFGvICQIcrqJoH3lqAO73u4TeBDjhv5n+h+S37CHd1lvgRgoOay9dWaLKOyUThgKF2HcPWMZIj2froo5eihM=
-----END CERTIFICATE-----","","","","","","None","","","","2008/05/19","2021/02/03","","",""
"10881","","","None","192.168.0.105","tcp","22","SSH Protocol Versions Supported","A SSH server is running on the remote host.","This plugin determines the versions of the SSH protocol supported by
the remote SSH daemon.","n/a","","The remote SSH daemon supports the following versions of the
SSH protocol :

  - 1.33
  - 1.5
  - 1.99
  - 2.0


SSHv1 host key fingerprint : b8:74:6c:db:fd:8b:e6:66:e9:2a:2b:df:5e:6f:64:86
","","","","","","None","","","","2002/03/06","2021/01/19","","",""
"10882","CVE-2001-0361","7.5","High","192.168.0.105","tcp","22","SSH Protocol Version 1 Session Key Retrieval","The remote service offers an insecure cryptographic protocol.","The remote SSH daemon supports connections made using the version 1.33
and/or 1.5 of the SSH protocol. 

These protocols are not completely cryptographically safe so they
should not be used.","Disable compatibility with version 1 of the SSH protocol.","","","","","5.5","","6.3","High","2344","CWE:310","","2002/03/06","2020/04/27","","",""
"10882","CVE-2001-0572","7.5","High","192.168.0.105","tcp","22","SSH Protocol Version 1 Session Key Retrieval","The remote service offers an insecure cryptographic protocol.","The remote SSH daemon supports connections made using the version 1.33
and/or 1.5 of the SSH protocol. 

These protocols are not completely cryptographically safe so they
should not be used.","Disable compatibility with version 1 of the SSH protocol.","","","","","5.5","","6.3","High","2344","CWE:310","","2002/03/06","2020/04/27","","",""
"10882","CVE-2001-1473","7.5","High","192.168.0.105","tcp","22","SSH Protocol Version 1 Session Key Retrieval","The remote service offers an insecure cryptographic protocol.","The remote SSH daemon supports connections made using the version 1.33
and/or 1.5 of the SSH protocol. 

These protocols are not completely cryptographically safe so they
should not be used.","Disable compatibility with version 1 of the SSH protocol.","","","","","5.5","","6.3","High","2344","CWE:310","","2002/03/06","2020/04/27","","",""
"10883","CVE-2002-0083","10.0","Critical","192.168.0.105","tcp","22","OpenSSH < 3.1 Channel Code Off by One Remote Privilege Escalation","Arbitrary code may be run on the remote host.","You are running a version of OpenSSH which is older than 3.1.

Versions prior than 3.1 are vulnerable to an off by one error
that allows local users to gain root access, and it may be
possible for remote users to similarly compromise the daemon
for remote access.

In addition, a vulnerable SSH client may be compromised by
connecting to a malicious SSH daemon that exploits this
vulnerability in the client code, thus compromising the
client system.","Upgrade to OpenSSH 3.1 or apply the patch for
prior versions. (See: http://www.openssh.org)","","","","","8.3","","7.4","Critical","4241","CWE:189","","2002/03/07","2018/07/16","","true",""
"10954","CVE-2002-0575","7.5","High","192.168.0.105","tcp","22","OpenSSH Kerberos TGT/AFS Token Passing Remote Overflow","Arbitrary code may be run on the remote host.","You are running a version of OpenSSH older than OpenSSH 3.2.1.

A buffer overflow exists in the daemon if AFS is enabled on
your system, or if the options KerberosTgtPassing or
AFSTokenPassing are enabled.  Even in this scenario, the
vulnerability may be avoided by enabling UsePrivilegeSeparation.

Versions prior to 2.9.9 are vulnerable to a remote root
exploit. Versions prior to 3.2.1 are vulnerable to a local
root exploit.","Upgrade to version 3.2.1 or later.","","","","","5.9","","6.3","High","4560","","","2002/05/12","2018/07/16","","",""
"11011","","","None","192.168.0.105","tcp","139","Microsoft Windows SMB Service Detection","A file / print sharing service is listening on the remote host.","The remote service understands the CIFS (Common Internet File System)
or Server Message Block (SMB) protocol, used to provide shared access
to files, printers, etc between nodes on a network.","n/a","","
An SMB server is running on this port.
","","","","","","None","","","","2002/06/05","2021/02/11","","",""
"11030","CVE-2002-0392","7.5","High","192.168.0.105","tcp","80","Apache Chunked Encoding Remote Overflow","The remote web server is vulnerable to a remote code execution attack.","The remote Apache web server is affected by the Apache web server
chunk handling vulnerability. 

If safe checks are enabled, this may be a false positive since it is
based on the version of Apache. Although unpatched Apache versions
1.2.2 and above, 1.3 through 1.3.24, and 2.0 through 2.0.36 are
affected, the remote server may be running a patched version of
Apache.","Upgrade to Apache web server version 1.3.26 / 2.0.39 or later.","http://httpd.apache.org/info/security_bulletin_20020617.txt
http://httpd.apache.org/info/security_bulletin_20020620.txt","","","7.3","6.2","6.8","4.9","High","5033","","","2002/06/17","2020/06/12","true","true","true"
"11030","CVE-2002-0392","7.5","High","192.168.0.105","tcp","443","Apache Chunked Encoding Remote Overflow","The remote web server is vulnerable to a remote code execution attack.","The remote Apache web server is affected by the Apache web server
chunk handling vulnerability. 

If safe checks are enabled, this may be a false positive since it is
based on the version of Apache. Although unpatched Apache versions
1.2.2 and above, 1.3 through 1.3.24, and 2.0 through 2.0.36 are
affected, the remote server may be running a patched version of
Apache.","Upgrade to Apache web server version 1.3.26 / 2.0.39 or later.","http://httpd.apache.org/info/security_bulletin_20020617.txt
http://httpd.apache.org/info/security_bulletin_20020620.txt","","","7.3","6.2","6.8","4.9","High","5033","","","2002/06/17","2020/06/12","true","true","true"
"11031","CVE-2002-0639","10.0","Critical","192.168.0.105","tcp","22","OpenSSH < 3.4 Multiple Remote Overflows","The remote host has an application that is affected multiple
vulnerabilities.","According to its banner, the remote host appears to be 
running OpenSSH version 3.4 or older. Such versions are 
reportedly affected by multiple flaws. An attacker may 
exploit these vulnerabilities to gain a shell on the remote 
system.

Note that several distributions patched this hole without 
changing the version number of OpenSSH. Since Nessus solely 
relied on the banner of the remote SSH server to perform this 
check, this might be a false positive.

If you are running a RedHat host, make sure that the command :
          rpm -q openssh-server
	  
Returns :
	openssh-server-3.1p1-6","Upgrade to OpenSSH 3.4 or contact your vendor for a patch.","http://www.openssh.com/txt/preauth.adv","","","","7.8","","6.7","Critical","5093","","","2002/06/25","2018/07/16","","",""
"11031","CVE-2002-0640","10.0","Critical","192.168.0.105","tcp","22","OpenSSH < 3.4 Multiple Remote Overflows","The remote host has an application that is affected multiple
vulnerabilities.","According to its banner, the remote host appears to be 
running OpenSSH version 3.4 or older. Such versions are 
reportedly affected by multiple flaws. An attacker may 
exploit these vulnerabilities to gain a shell on the remote 
system.

Note that several distributions patched this hole without 
changing the version number of OpenSSH. Since Nessus solely 
relied on the banner of the remote SSH server to perform this 
check, this might be a false positive.

If you are running a RedHat host, make sure that the command :
          rpm -q openssh-server
	  
Returns :
	openssh-server-3.1p1-6","Upgrade to OpenSSH 3.4 or contact your vendor for a patch.","http://www.openssh.com/txt/preauth.adv","","","","7.8","","6.7","Critical","5093","","","2002/06/25","2018/07/16","","",""
"11111","","","None","192.168.0.105","tcp","111","RPC Services Enumeration","An ONC RPC service is running on the remote host.","By sending a DUMP request to the portmapper, it was possible to
enumerate the ONC RPC services running on the remote port.  Using this
information, it is possible to connect and bind to each service by
sending an RPC request to the remote port.","n/a","","
The following RPC services are available on TCP port 111 :

 - program: 100000 (portmapper), version: 2
","","","","","","None","","","","2002/08/24","2011/05/24","","",""
"11111","","","None","192.168.0.105","tcp","1024","RPC Services Enumeration","An ONC RPC service is running on the remote host.","By sending a DUMP request to the portmapper, it was possible to
enumerate the ONC RPC services running on the remote port.  Using this
information, it is possible to connect and bind to each service by
sending an RPC request to the remote port.","n/a","","
The following RPC services are available on TCP port 1024 :

 - program: 100024 (status), version: 1
","","","","","","None","","","","2002/08/24","2011/05/24","","",""
"11111","","","None","192.168.0.105","udp","111","RPC Services Enumeration","An ONC RPC service is running on the remote host.","By sending a DUMP request to the portmapper, it was possible to
enumerate the ONC RPC services running on the remote port.  Using this
information, it is possible to connect and bind to each service by
sending an RPC request to the remote port.","n/a","","
The following RPC services are available on UDP port 111 :

 - program: 100000 (portmapper), version: 2
","","","","","","None","","","","2002/08/24","2011/05/24","","",""
"11111","","","None","192.168.0.105","udp","1024","RPC Services Enumeration","An ONC RPC service is running on the remote host.","By sending a DUMP request to the portmapper, it was possible to
enumerate the ONC RPC services running on the remote port.  Using this
information, it is possible to connect and bind to each service by
sending an RPC request to the remote port.","n/a","","
The following RPC services are available on UDP port 1024 :

 - program: 100024 (status), version: 1
","","","","","","None","","","","2002/08/24","2011/05/24","","",""
"11137","CVE-2002-0839","7.5","High","192.168.0.105","tcp","80","Apache < 1.3.27 Multiple Vulnerabilities (DoS, XSS)","The remote web server is affected by multiple vulnerabilities.","The remote host is running a version of Apache web server prior to
1.3.27. It is, therefore, affected by multiple vulnerabilities :

  - There is a cross-site scripting vulnerability caused by
    a failure to filter HTTP/1.1 'Host' headers that are
    sent by browsers.

  - A vulnerability in the handling of the Apache scorecard
    could allow an attacker to cause a denial of service.

  - A buffer overflow vulnerability exists in the
    'support/ab.c' read_connection() function. The ab.c file
    is a benchmarking support utility that is provided with
    the Apache web server.","Upgrade to Apache web server version 1.3.27 or later.","https://seclists.org/bugtraq/2002/Oct/199
http://www.nessus.org/u?767573c2
https://seclists.org/bugtraq/2002/Nov/163
http://www.nessus.org/u?e06ce83b","
  Version source    : Server: Apache/1.3.20 (Unix)  (Red-Hat/Linux) mod_ssl/2.8.4 OpenSSL/0.9.6b
  Installed version : 1.3.20
  Fixed version     : 1.3.27
","","7.3","5.9","6.6","6.3","High","5847;5884;5887;5995;5996","CWE:20;CWE:74;CWE:79;CWE:442;CWE:629;CWE:711;CWE:712;CWE:722;CWE:725;CWE:750;CWE:751;CWE:800;CWE:801;CWE:809;CWE:811;CWE:864;CWE:900;CWE:928;CWE:931;CWE:990","","2002/10/04","2018/11/15","","",""
"11137","CVE-2002-0840","7.5","High","192.168.0.105","tcp","80","Apache < 1.3.27 Multiple Vulnerabilities (DoS, XSS)","The remote web server is affected by multiple vulnerabilities.","The remote host is running a version of Apache web server prior to
1.3.27. It is, therefore, affected by multiple vulnerabilities :

  - There is a cross-site scripting vulnerability caused by
    a failure to filter HTTP/1.1 'Host' headers that are
    sent by browsers.

  - A vulnerability in the handling of the Apache scorecard
    could allow an attacker to cause a denial of service.

  - A buffer overflow vulnerability exists in the
    'support/ab.c' read_connection() function. The ab.c file
    is a benchmarking support utility that is provided with
    the Apache web server.","Upgrade to Apache web server version 1.3.27 or later.","https://seclists.org/bugtraq/2002/Oct/199
http://www.nessus.org/u?767573c2
https://seclists.org/bugtraq/2002/Nov/163
http://www.nessus.org/u?e06ce83b","
  Version source    : Server: Apache/1.3.20 (Unix)  (Red-Hat/Linux) mod_ssl/2.8.4 OpenSSL/0.9.6b
  Installed version : 1.3.20
  Fixed version     : 1.3.27
","","7.3","5.9","6.6","6.3","High","5847;5884;5887;5995;5996","CWE:20;CWE:74;CWE:79;CWE:442;CWE:629;CWE:711;CWE:712;CWE:722;CWE:725;CWE:750;CWE:751;CWE:800;CWE:801;CWE:809;CWE:811;CWE:864;CWE:900;CWE:928;CWE:931;CWE:990","","2002/10/04","2018/11/15","","",""
"11137","CVE-2002-0843","7.5","High","192.168.0.105","tcp","80","Apache < 1.3.27 Multiple Vulnerabilities (DoS, XSS)","The remote web server is affected by multiple vulnerabilities.","The remote host is running a version of Apache web server prior to
1.3.27. It is, therefore, affected by multiple vulnerabilities :

  - There is a cross-site scripting vulnerability caused by
    a failure to filter HTTP/1.1 'Host' headers that are
    sent by browsers.

  - A vulnerability in the handling of the Apache scorecard
    could allow an attacker to cause a denial of service.

  - A buffer overflow vulnerability exists in the
    'support/ab.c' read_connection() function. The ab.c file
    is a benchmarking support utility that is provided with
    the Apache web server.","Upgrade to Apache web server version 1.3.27 or later.","https://seclists.org/bugtraq/2002/Oct/199
http://www.nessus.org/u?767573c2
https://seclists.org/bugtraq/2002/Nov/163
http://www.nessus.org/u?e06ce83b","
  Version source    : Server: Apache/1.3.20 (Unix)  (Red-Hat/Linux) mod_ssl/2.8.4 OpenSSL/0.9.6b
  Installed version : 1.3.20
  Fixed version     : 1.3.27
","","7.3","5.9","6.6","6.3","High","5847;5884;5887;5995;5996","CWE:20;CWE:74;CWE:79;CWE:442;CWE:629;CWE:711;CWE:712;CWE:722;CWE:725;CWE:750;CWE:751;CWE:800;CWE:801;CWE:809;CWE:811;CWE:864;CWE:900;CWE:928;CWE:931;CWE:990","","2002/10/04","2018/11/15","","",""
